Date,Month,OPP,away,W,L,ERA,IP,H,R,HR,BB,SO
6-Apr,Apr,LAA,0,1,0,1.29,7,2,1,1,1,10
12-Apr,Apr,atOAK,1,0,0,3,5,8,3,0,2,1
18-Apr,Apr,TEX,0,1,0,2.37,7,2,1,0,2,12
24-Apr,Apr,MIN,0,1,0,1.61,9,5,0,0,0,9
29-Apr,Apr,atTEX,1,1,0,1.82,6.2,5,2,0,1,4
4-May,May,atLAA,1,1,0,1.73,7,6,1,1,1,8
10-May,May,OAK,0,1,0,1.85,7,5,2,2,1,6
16-May,May,BOS,0,0,1,2.3,6,7,4,2,4,5
22-May,May,atTOR,1,1,0,2.19,7,4,1,1,2,8
27-May,May,atTB,1,1,0,1.91,9,4,0,0,1,8
1-Jun,Jun,NYY,0,0,1,2.63,4.2,6,7,1,5,4
6-Jun,Jun,TB,0,1,0,2.51,7,2,1,0,3,6
12-Jun,Jun,atHOU,1,0,1,3.38,0.1,5,8,2,2,1
17-Jun,Jun,SF,0,1,0,3.08,8,4,0,0,2,5
22-Jun,Jun,KC,0,0,1,3.24,6.2,9,4,0,1,5
28-Jun,Jun,atLAA,1,0,0,3.05,6,1,0,0,3,8
4-Jul,Jul,atOAK,1,0,1,3.02,7,10,2,0,2,6
9-Jul,Jul,LAA,0,1,0,2.84,7,5,0,0,2,6
19-Jul,Jul,atNYY,1,0,0,2.77,6,5,1,0,3,5
24-Jul,Jul,TOR,0,1,0,2.69,7,6,2,1,1,7
29-Jul,Jul,ARI,0,0,1,3.02,6.2,12,7,2,1,7
3-Aug,Aug,atCOL,1,1,0,3.13,6.2,11,4,0,1,9
9-Aug,Aug,TEX,0,1,0,3.11,7,6,2,0,1,5
15-Aug,Aug,atBOS,1,0,1,3.65,2.1,12,10,3,1,2
21-Aug,Aug,CWS,0,0,1,3.74,6,9,4,0,1,4
26-Aug,Aug,OAK,0,1,0,3.66,8,3,2,2,1,7
5-Sep,Sep,atOAK,1,1,0,3.65,8,6,3,1,0,9
10-Sep,Sep,TEX,0,1,0,3.49,8,3,0,0,4,8
15-Sep,Sep,LAA,0,0,1,3.55,7,5,4,2,2,5
20-Sep,Sep,atTEX,1,1,0,3.54,5.2,4,2,1,5,5
26-Sep,Sep,atLAA,1,0,0,3.53,6,8,2,1,2,6
