Date,Month,Tm,OPP,away,W,L,IP,H,R,HR,BB,SO
27-Apr,Apr,SEA,DET,0,1,0,6,3,0,0,2,8
2-May,May,SEA,atTEX,1,1,0,6,4,1,0,3,8
7-May,May,SEA,atCAL,1,1,0,7,6,1,0,2,9
12-May,May,SEA,CHW,0,1,0,7,5,1,0,2,11
17-May,May,SEA,atKCR,1,1,0,3.1,2,0,0,0,3
21-May,May,SEA,atMIN,1,1,0,8,5,2,1,0,10
26-May,May,SEA,BAL,0,1,0,6.2,8,3,1,2,13
31-May,May,SEA,NYY,0,1,0,6,8,5,0,3,8
5-Jun,Jun,SEA,atBAL,1,1,0,9,3,0,0,1,12
10-Jun,Jun,SEA,atNYY,1,1,0,7,5,2,0,4,12
16-Jun,Jun,SEA,MIN,0,0,1,6,9,8,2,4,8
20-Jun,Jun,SEA,atCHW,1,1,0,7,5,3,1,3,10
24-Jun,Jun,SEA,CAL,0,1,0,9,5,2,0,3,15
28-Jun,Jun,SEA,OAK,0,0,1,6.1,7,5,1,1,4
2-Jul,Jul,SEA,TEX,0,1,0,6,7,2,0,4,8
7-Jul,Jul,SEA,atCLE,1,1,0,9,8,3,0,0,13
15-Jul,Jul,SEA,TOR,0,1,0,9,3,0,0,2,16
20-Jul,Jul,SEA,atMIL,1,1,0,7,6,2,0,2,8
25-Jul,Jul,SEA,MIL,0,1,0,7,6,6,1,1,9
1-Aug,Aug,SEA,atCAL,1,0,1,7.1,10,7,1,2,10
11-Aug,Aug,SEA,atKCR,1,1,0,7,3,0,0,0,11
16-Aug,Aug,SEA,atMIN,1,1,0,6,5,3,1,2,6
21-Aug,Aug,SEA,BAL,0,1,0,6,4,0,0,3,10
26-Aug,Aug,SEA,NYY,0,1,0,9,3,0,0,4,7
8-Sep,Sep,SEA,KCR,0,1,0,7,4,1,0,5,8
13-Sep,Sep,SEA,MIN,0,1,0,7,6,4,1,2,13
18-Sep,Sep,SEA,TEX,0,1,0,8,3,1,0,2,10
23-Sep,Sep,SEA,OAK,0,1,0,7.1,4,0,0,3,15
28-Sep,Sep,SEA,atTEX,1,1,0,8.1,9,2,1,2,7
2-Oct,Oct,SEA,CAL,0,1,0,9,3,1,1,1,12
